Team,Maps,Won - Lost,Pistol win %,Round 2 conv,Round 2 break,Map Name
For Fun,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Wisby Gymnasiet,2,2 - 2,50.0%,100.0%,0.0%,Anubis
3DMAX,74,78 - 70,52.7%,88.5%,18.6%,Anubis
thekillaz fe,3,1 - 5,16.7%,100.0%,60.0%,Anubis
UNiTY,34,32 - 36,47.1%,75.0%,11.1%,Anubis
ECLOT,61,71 - 51,58.2%,81.7%,21.6%,Anubis
SNOGARD Dragons,1,1 - 1,50.0%,100.0%,0.0%,Anubis
MIGHT,10,11 - 9,55.0%,72.7%,11.1%,Anubis
IHC,10,9 - 11,45.0%,77.8%,27.3%,Anubis
Astralis W,9,13 - 5,72.2%,100.0%,20.0%,Anubis
paiN,64,70 - 58,54.7%,84.1%,24.1%,Anubis
Zero Tenacity,151,168 - 134,55.6%,83.9%,21.1%,Anubis
monaco,1,2 - 0,100.0%,50.0%,-,Anubis
Monte,45,48 - 42,53.3%,87.5%,11.9%,Anubis
Lynn Vision,28,35 - 21,62.5%,80.0%,14.3%,Anubis
Spirit,28,29 - 27,51.8%,82.8%,7.4%,Anubis
MIBR,53,58 - 48,54.7%,87.7%,18.8%,Anubis
Partizan,2,2 - 2,50.0%,0.0%,0.0%,Anubis
NIP Impact,15,12 - 18,40.0%,91.7%,11.1%,Anubis
L&G,15,21 - 9,70.0%,76.2%,11.1%,Anubis
BLEED,54,56 - 52,51.9%,87.5%,19.2%,Anubis
ex-Preasy,8,8 - 8,50.0%,87.5%,12.5%,Anubis
G2 Ares,5,5 - 5,50.0%,100.0%,40.0%,Anubis
Johnny Speeds,56,56 - 56,50.0%,92.9%,25.0%,Anubis
Sangal,57,64 - 50,56.1%,85.9%,20.0%,Anubis
TALON,11,13 - 9,59.1%,100.0%,0.0%,Anubis
GR,23,16 - 30,34.8%,81.2%,23.3%,Anubis
Imperial,44,41 - 47,46.6%,90.2%,10.6%,Anubis
Crescent fe,6,8 - 4,66.7%,100.0%,0.0%,Anubis
G2,34,36 - 32,52.9%,75.0%,25.0%,Anubis
LBS Helsingborg,1,2 - 0,100.0%,100.0%,-,Anubis
5W,2,2 - 2,50.0%,100.0%,0.0%,Anubis
Sharks,56,53 - 59,47.3%,86.8%,8.5%,Anubis
RED Canids,49,48 - 50,49.0%,83.3%,16.0%,Anubis
Qiang,2,1 - 3,25.0%,100.0%,0.0%,Anubis
FAVBET,43,43 - 43,50.0%,81.4%,11.6%,Anubis
Grayfox,3,3 - 3,50.0%,100.0%,66.7%,Anubis
Shush,2,2 - 2,50.0%,100.0%,50.0%,Anubis
Natus Vincere,27,37 - 17,68.5%,86.5%,5.9%,Anubis
adalYamigos,15,12 - 18,40.0%,91.7%,22.2%,Anubis
Vitality,26,23 - 29,44.2%,73.9%,48.3%,Anubis
B8,58,60 - 56,51.7%,85.0%,12.5%,Anubis
System5,9,10 - 8,55.6%,80.0%,12.5%,Anubis
ex-sYnck,2,3 - 1,75.0%,100.0%,0.0%,Anubis
Complexity,32,32 - 32,50.0%,83.9%,18.8%,Anubis
9 Pandas Fearless,1,1 - 1,50.0%,100.0%,100.0%,Anubis
ILIN,2,2 - 2,50.0%,100.0%,0.0%,Anubis
SRK,1,2 - 0,100.0%,100.0%,-,Anubis
South Africa fe,1,1 - 1,50.0%,100.0%,0.0%,Anubis
TEMP,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Passion UA,73,74 - 72,50.7%,83.8%,15.3%,Anubis
Poland fe,3,4 - 2,66.7%,100.0%,0.0%,Anubis
CUBE,2,2 - 2,50.0%,100.0%,0.0%,Anubis
Norway fe,1,1 - 1,50.0%,100.0%,0.0%,Anubis
K27,14,14 - 14,50.0%,92.9%,7.1%,Anubis
Vikings KR,23,24 - 22,52.2%,75.0%,27.3%,Anubis
BIG Academy,4,4 - 4,50.0%,75.0%,0.0%,Anubis
Rare Atom,24,27 - 21,56.2%,92.6%,23.8%,Anubis
Let's go golfing,2,1 - 3,25.0%,100.0%,0.0%,Anubis
EXO,4,5 - 3,62.5%,80.0%,33.3%,Anubis
Fire Flux,4,4 - 4,50.0%,100.0%,0.0%,Anubis
Trouble makers,6,5 - 7,41.7%,100.0%,0.0%,Anubis
TSM Impact,11,9 - 13,40.9%,77.8%,0.0%,Anubis
Heimo,8,8 - 8,50.0%,87.5%,37.5%,Anubis
Sampi,66,67 - 65,50.8%,85.1%,12.3%,Anubis
Nemiga,57,60 - 54,52.6%,83.3%,16.7%,Anubis
Party Astronauts,38,29 - 47,38.2%,79.3%,19.6%,Anubis
ENCE,22,19 - 25,43.2%,94.4%,16.0%,Anubis
Cloud9,29,36 - 22,62.1%,88.9%,4.5%,Anubis
Mission Possible,2,1 - 3,25.0%,100.0%,33.3%,Anubis
inSanitY,20,20 - 20,50.0%,75.0%,10.0%,Anubis
9INE,53,60 - 46,56.6%,81.7%,21.7%,Anubis
Datejust,5,6 - 4,60.0%,100.0%,25.0%,Anubis
Legacy,34,33 - 35,48.5%,81.8%,14.3%,Anubis
TRAFFIC Tashkent,1,1 - 1,50.0%,100.0%,0.0%,Anubis
9z,24,27 - 21,56.2%,85.2%,9.5%,Anubis
AVEZ,3,2 - 4,33.3%,100.0%,0.0%,Anubis
Insilio,64,63 - 65,49.2%,81.0%,29.2%,Anubis
ARCRED,33,35 - 31,53.0%,71.4%,12.9%,Anubis
Bad News Bears,4,6 - 2,75.0%,100.0%,50.0%,Anubis
Blockbusters,1,2 - 0,100.0%,100.0%,-,Anubis
atputies,1,0 - 2,0.0%,-,0.0%,Anubis
Space,41,43 - 39,52.4%,86.0%,7.7%,Anubis
Mindfreak,21,22 - 20,52.4%,86.4%,25.0%,Anubis
FTW,8,6 - 10,37.5%,100.0%,10.0%,Anubis
GUILD fe,6,6 - 6,50.0%,83.3%,0.0%,Anubis
FLuffy Gangsters,26,23 - 29,44.2%,82.6%,31.0%,Anubis
BOSS,26,26 - 26,50.0%,84.6%,15.4%,Anubis
GenOne,17,16 - 18,47.1%,68.8%,16.7%,Anubis
VFE,1,0 - 2,0.0%,-,0.0%,Anubis
Into the Breach,35,33 - 37,47.1%,72.7%,18.9%,Anubis
SAW,36,35 - 37,48.6%,80.0%,16.2%,Anubis
HEROIC,30,30 - 30,50.0%,86.7%,33.3%,Anubis
ALTERNATE aTTaX,98,102 - 94,52.0%,77.2%,17.0%,Anubis
MOUZ NXT,38,36 - 40,47.4%,77.8%,15.0%,Anubis
Marcos,4,2 - 6,25.0%,100.0%,16.7%,Anubis
Reason,4,3 - 5,37.5%,66.7%,0.0%,Anubis
CPH Wolves,35,36 - 34,51.4%,91.7%,11.8%,Anubis
ROSOMAHA,1,1 - 1,50.0%,100.0%,0.0%,Anubis
FORZE,15,15 - 15,50.0%,86.7%,26.7%,Anubis
DXA,6,5 - 7,41.7%,80.0%,14.3%,Anubis
Grannys Knockers,11,9 - 13,40.9%,88.9%,46.2%,Anubis
Limitless Angels,6,5 - 7,41.7%,100.0%,16.7%,Anubis
kONO,16,18 - 14,56.2%,94.4%,0.0%,Anubis
Aurora,39,42 - 36,53.8%,81.0%,27.8%,Anubis
GUN5,36,32 - 40,44.4%,87.5%,22.5%,Anubis
Revenge Nation,14,17 - 11,60.7%,82.4%,0.0%,Anubis
XBL,1,1 - 1,50.0%,100.0%,0.0%,Anubis
fnatic,35,30 - 40,42.9%,90.0%,12.5%,Anubis
MIBR fe,9,11 - 7,61.1%,90.9%,28.6%,Anubis
XNL,2,1 - 3,25.0%,100.0%,0.0%,Anubis
timbermen,6,10 - 2,83.3%,88.9%,100.0%,Anubis
Virtus.pro,20,17 - 23,42.5%,76.5%,17.4%,Anubis
hypewrld,5,8 - 2,80.0%,87.5%,0.0%,Anubis
The MongolZ,29,29 - 29,50.0%,75.9%,17.2%,Anubis
Portugal fe,3,3 - 3,50.0%,100.0%,0.0%,Anubis
FORZE Reload,2,2 - 2,50.0%,100.0%,0.0%,Anubis
NOM,6,4 - 8,33.3%,100.0%,12.5%,Anubis
CatEvil,5,4 - 6,40.0%,100.0%,0.0%,Anubis
Nexus,39,41 - 37,52.6%,82.9%,5.4%,Anubis
K10,6,7 - 5,58.3%,85.7%,20.0%,Anubis
E-Xolos LAZER,13,12 - 14,46.2%,91.7%,14.3%,Anubis
DRILLAS,12,9 - 15,37.5%,88.9%,13.3%,Anubis
Þór,1,2 - 0,100.0%,100.0%,-,Anubis
9z Academy,13,11 - 15,42.3%,90.9%,0.0%,Anubis
Wanted Goons,2,2 - 2,50.0%,100.0%,100.0%,Anubis
Mythic,28,25 - 31,44.6%,84.0%,19.4%,Anubis
Spirit fe,12,10 - 14,41.7%,90.0%,7.1%,Anubis
9 Pandas,54,47 - 61,43.5%,91.3%,8.2%,Anubis
Dewa United,7,10 - 4,71.4%,90.0%,25.0%,Anubis
Nouns fe,9,8 - 10,44.4%,100.0%,0.0%,Anubis
Onliners5,1,2 - 0,100.0%,100.0%,-,Anubis
NOFEAR5,1,0 - 2,0.0%,-,0.0%,Anubis
Gucci Academy,8,8 - 8,50.0%,75.0%,25.0%,Anubis
The Prodigies,6,6 - 6,50.0%,83.3%,16.7%,Anubis
The Chosen Few,9,8 - 10,44.4%,75.0%,30.0%,Anubis
Project G,4,3 - 5,37.5%,66.7%,20.0%,Anubis
QUAZAR,7,8 - 6,57.1%,75.0%,0.0%,Anubis
FLUFFY AIMERS,15,20 - 10,66.7%,70.0%,0.0%,Anubis
Blue Otter Karma,5,6 - 4,60.0%,100.0%,25.0%,Anubis
Onyx Ravens,6,7 - 5,58.3%,100.0%,20.0%,Anubis
FaZe,21,25 - 17,59.5%,80.0%,17.6%,Anubis
Gaimin Gladiators,28,27 - 29,48.2%,85.2%,20.7%,Anubis
Kari,1,2 - 0,100.0%,100.0%,-,Anubis
Endpoint,44,48 - 40,54.5%,79.2%,12.5%,Anubis
PARIVISION,31,29 - 33,46.8%,86.2%,24.2%,Anubis
Kronjyllands,1,0 - 2,0.0%,-,0.0%,Anubis
SINNERS Academy,2,4 - 0,100.0%,100.0%,-,Anubis
Elevate,13,11 - 15,42.3%,63.6%,6.7%,Anubis
Solid,51,53 - 49,52.0%,90.6%,12.5%,Anubis
BIG,27,24 - 30,44.4%,87.5%,6.7%,Anubis
BetBoom,42,43 - 41,51.2%,81.4%,9.8%,Anubis
ECSTATIC,39,40 - 38,51.3%,87.5%,15.8%,Anubis
Slugy's Shekel Squad,2,3 - 1,75.0%,33.3%,0.0%,Anubis
Alliance,46,38 - 54,41.3%,84.2%,13.0%,Anubis
DMS,27,22 - 32,40.7%,81.8%,25.0%,Anubis
Latvia,4,3 - 5,37.5%,100.0%,0.0%,Anubis
SR Nacague,1,1 - 1,50.0%,100.0%,0.0%,Anubis
TSM,6,4 - 8,33.3%,100.0%,25.0%,Anubis
GamerLegion,29,32 - 26,55.2%,87.5%,11.5%,Anubis
Entropiq,19,22 - 16,57.9%,81.8%,6.2%,Anubis
SINNERS,49,45 - 53,45.9%,86.7%,17.0%,Anubis
KOI,18,18 - 18,50.0%,94.4%,11.1%,Anubis
True Rippers,17,18 - 16,52.9%,83.3%,18.8%,Anubis
MIBR Academy,10,9 - 11,45.0%,100.0%,27.3%,Anubis
Fearless Cheetahs,5,5 - 5,50.0%,100.0%,0.0%,Anubis
Guild Eagles,25,25 - 25,50.0%,80.0%,12.0%,Anubis
Enterprise,33,30 - 36,45.5%,83.3%,22.2%,Anubis
Monte Gen,19,15 - 23,39.5%,73.3%,22.7%,Anubis
Intense,5,5 - 5,50.0%,80.0%,40.0%,Anubis
THE,4,5 - 3,62.5%,80.0%,0.0%,Anubis
BESTIA,67,72 - 62,53.7%,76.4%,29.0%,Anubis
LAG,33,36 - 30,54.5%,83.3%,16.7%,Anubis
Lebanon,2,1 - 3,25.0%,100.0%,33.3%,Anubis
HOTU,19,17 - 21,44.7%,76.5%,28.6%,Anubis
Anonymo,9,12 - 6,66.7%,58.3%,0.0%,Anubis
Austria,1,1 - 1,50.0%,100.0%,0.0%,Anubis
RUSH B,22,23 - 21,52.3%,78.3%,19.0%,Anubis
eHawks,2,4 - 0,100.0%,75.0%,-,Anubis
Espionage,11,13 - 9,59.1%,84.6%,22.2%,Anubis
Strife,3,2 - 4,33.3%,50.0%,0.0%,Anubis
Permitta W,6,5 - 7,41.7%,100.0%,0.0%,Anubis
Aurora Young Blud,35,39 - 31,55.7%,84.6%,6.5%,Anubis
iM Apartments,2,3 - 1,75.0%,100.0%,0.0%,Anubis
Clutch,4,6 - 2,75.0%,83.3%,0.0%,Anubis
OG,28,28 - 28,50.0%,77.8%,3.6%,Anubis
HSG fe,6,7 - 5,58.3%,85.7%,0.0%,Anubis
INFINITE,5,3 - 7,30.0%,100.0%,28.6%,Anubis
Illuminar,40,41 - 39,51.2%,95.1%,12.8%,Anubis
Dusty Roots,8,9 - 7,56.2%,55.6%,42.9%,Anubis
Major Abusers,2,2 - 2,50.0%,100.0%,0.0%,Anubis
Sissi State Punks,1,1 - 1,50.0%,100.0%,0.0%,Anubis
RUSTEC,4,4 - 4,50.0%,100.0%,0.0%,Anubis
Let Her Cook,9,7 - 11,38.9%,100.0%,9.1%,Anubis
WINDINGO,2,1 - 3,25.0%,100.0%,0.0%,Anubis
LaChampionsLiga,6,8 - 4,66.7%,100.0%,25.0%,Anubis
Rebels,29,32 - 26,55.2%,84.4%,23.1%,Anubis
Galorys,29,29 - 29,50.0%,72.4%,17.2%,Anubis
ex-Enterprise,2,2 - 2,50.0%,100.0%,0.0%,Anubis
VENI VIDI VICI,2,3 - 1,75.0%,66.7%,0.0%,Anubis
Sprout,16,13 - 19,40.6%,69.2%,15.8%,Anubis
Permitta,71,64 - 78,45.1%,87.5%,16.9%,Anubis
15 Average,1,2 - 0,100.0%,50.0%,-,Anubis
Apeks,20,12 - 28,30.0%,75.0%,11.1%,Anubis
Badass,2,3 - 1,75.0%,100.0%,0.0%,Anubis
Bounty Hunters,24,19 - 29,39.6%,89.5%,24.1%,Anubis
Cloud 10,1,2 - 0,100.0%,50.0%,-,Anubis
Falcons,23,15 - 31,32.6%,93.3%,29.0%,Anubis
Spirit Academy,27,16 - 38,29.6%,100.0%,13.2%,Anubis
Take Flyte,28,26 - 30,46.4%,80.0%,26.7%,Anubis
Soda,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Metizport,20,17 - 23,42.5%,82.4%,8.7%,Anubis
paiN Academy,7,5 - 9,35.7%,100.0%,0.0%,Anubis
Drippy Lab,3,3 - 3,50.0%,66.7%,0.0%,Anubis
OneDay fe,6,7 - 5,58.3%,100.0%,0.0%,Anubis
Chinggis Warriors,15,18 - 12,60.0%,83.3%,8.3%,Anubis
MAKING HISTORY,7,7 - 7,50.0%,85.7%,14.3%,Anubis
IKLA,7,6 - 8,42.9%,100.0%,25.0%,Anubis
Rhyno,33,29 - 37,43.9%,86.2%,21.6%,Anubis
Venom,2,3 - 1,75.0%,66.7%,0.0%,Anubis
upNEXT,1,0 - 2,0.0%,-,50.0%,Anubis
Imp Pact fe,3,2 - 4,33.3%,100.0%,50.0%,Anubis
NomadS,3,3 - 3,50.0%,33.3%,33.3%,Anubis
UHKA,2,1 - 3,25.0%,100.0%,0.0%,Anubis
RUBY,34,33 - 35,48.5%,78.8%,22.9%,Anubis
777,10,8 - 12,40.0%,75.0%,25.0%,Anubis
Hype,4,4 - 4,50.0%,50.0%,50.0%,Anubis
Marca Registrada,3,4 - 2,66.7%,75.0%,0.0%,Anubis
InControl,8,9 - 7,56.2%,66.7%,0.0%,Anubis
Young Ninjas,14,10 - 18,35.7%,90.0%,16.7%,Anubis
Young Gods,1,1 - 1,50.0%,100.0%,0.0%,Anubis
MAG,6,5 - 7,41.7%,100.0%,14.3%,Anubis
WW,12,9 - 15,37.5%,88.9%,6.7%,Anubis
SENSEI,3,3 - 3,50.0%,66.7%,33.3%,Anubis
Alter Iron,1,1 - 1,50.0%,0.0%,0.0%,Anubis
Haspers,1,0 - 2,0.0%,-,100.0%,Anubis
500,29,27 - 31,46.6%,88.9%,16.1%,Anubis
ECF,5,6 - 4,60.0%,50.0%,25.0%,Anubis
Arcade,5,4 - 6,40.0%,100.0%,0.0%,Anubis
GL Academy,7,6 - 8,42.9%,83.3%,0.0%,Anubis
Bad News Kangaroos,13,16 - 10,61.5%,87.5%,11.1%,Anubis
MANTRA,2,2 - 2,50.0%,50.0%,50.0%,Anubis
Unlucky Much?,1,2 - 0,100.0%,50.0%,-,Anubis
Phoenix,3,4 - 2,66.7%,75.0%,100.0%,Anubis
Ninjas in Pyjamas,14,10 - 18,35.7%,70.0%,27.8%,Anubis
Vantage,12,15 - 9,62.5%,66.7%,11.1%,Anubis
ATOX,19,18 - 20,47.4%,88.9%,5.0%,Anubis
Underrated,1,0 - 2,0.0%,-,50.0%,Anubis
FURIA,10,9 - 11,45.0%,66.7%,0.0%,Anubis
UNPAID,4,4 - 4,50.0%,75.0%,0.0%,Anubis
premghouls,1,0 - 2,0.0%,-,0.0%,Anubis
The Art of War,2,1 - 3,25.0%,100.0%,0.0%,Anubis
ex-2GAME,1,0 - 2,0.0%,-,0.0%,Anubis
Preasy,37,34 - 40,45.9%,82.4%,12.5%,Anubis
ENCE Athena,10,10 - 10,50.0%,80.0%,10.0%,Anubis
Final Form,5,6 - 4,60.0%,100.0%,0.0%,Anubis
LEON,11,11 - 11,50.0%,81.8%,9.1%,Anubis
Wizard,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Reveal,2,2 - 2,50.0%,100.0%,0.0%,Anubis
Sashi,40,41 - 39,51.2%,70.7%,5.1%,Anubis
ex-GUILD fe,1,2 - 0,100.0%,50.0%,-,Anubis
Hungary,4,5 - 3,62.5%,100.0%,66.7%,Anubis
Sharks Youngsters,4,5 - 3,62.5%,60.0%,0.0%,Anubis
VELOX,8,8 - 8,50.0%,87.5%,12.5%,Anubis
EYEBALLERS,49,42 - 56,42.9%,88.1%,10.7%,Anubis
KRÜ,24,26 - 22,54.2%,73.1%,18.2%,Anubis
Lotus fe,5,3 - 7,30.0%,100.0%,14.3%,Anubis
HAVU,20,24 - 16,60.0%,70.8%,18.8%,Anubis
DarkSide,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Metizport X,4,4 - 4,50.0%,75.0%,0.0%,Anubis
Kosovo,4,4 - 4,50.0%,100.0%,0.0%,Anubis
Divina fe,5,5 - 5,50.0%,100.0%,40.0%,Anubis
ENCE Academy,25,19 - 31,38.0%,84.2%,19.4%,Anubis
PGE Turow,3,3 - 3,50.0%,33.3%,0.0%,Anubis
Lilmix,10,8 - 12,40.0%,75.0%,36.4%,Anubis
disciples,1,1 - 1,50.0%,0.0%,0.0%,Anubis
Belarus,3,2 - 4,33.3%,100.0%,50.0%,Anubis
los kogutos,1,2 - 0,100.0%,100.0%,-,Anubis
Zomblers Academy,1,0 - 2,0.0%,-,50.0%,Anubis
DETONATE,7,6 - 8,42.9%,83.3%,0.0%,Anubis
Illyrians,3,3 - 3,50.0%,66.7%,0.0%,Anubis
Jordan,1,1 - 1,50.0%,0.0%,0.0%,Anubis
WOPA,16,14 - 18,43.8%,64.3%,11.1%,Anubis
iNation,4,4 - 4,50.0%,75.0%,0.0%,Anubis
Bad News Chickens,4,6 - 2,75.0%,66.7%,0.0%,Anubis
Verdant,31,33 - 29,53.2%,62.5%,17.2%,Anubis
-72c,8,8 - 8,50.0%,75.0%,12.5%,Anubis
The Suspect,10,10 - 10,50.0%,90.0%,10.0%,Anubis
Secret,11,11 - 11,50.0%,81.8%,9.1%,Anubis
Daystar,1,1 - 1,50.0%,100.0%,0.0%,Anubis
DASH,8,10 - 6,62.5%,50.0%,16.7%,Anubis
Superfkrs,3,3 - 3,50.0%,100.0%,33.3%,Anubis
WICKED,5,3 - 7,30.0%,100.0%,14.3%,Anubis
Niory,1,0 - 2,0.0%,-,0.0%,Anubis
Newhappy,7,6 - 8,42.9%,100.0%,25.0%,Anubis
Homyno,5,3 - 7,30.0%,100.0%,14.3%,Anubis
Viperio,10,8 - 12,40.0%,87.5%,25.0%,Anubis
Nuclear TigeRES,1,0 - 2,0.0%,-,50.0%,Anubis
EC BANGA,1,2 - 0,100.0%,100.0%,-,Anubis
Patins da Ferrari,13,12 - 14,46.2%,83.3%,14.3%,Anubis
jefet,2,3 - 1,75.0%,66.7%,0.0%,Anubis
PEAK fe,1,2 - 0,100.0%,100.0%,-,Anubis
BOGATYRI,2,3 - 1,75.0%,66.7%,100.0%,Anubis
sYnck,15,16 - 14,53.3%,75.0%,14.3%,Anubis
Yawara,9,9 - 9,50.0%,77.8%,0.0%,Anubis
BHOP,2,2 - 2,50.0%,100.0%,0.0%,Anubis
Spotless,1,1 - 1,50.0%,0.0%,0.0%,Anubis
suxeN,1,1 - 1,50.0%,100.0%,0.0%,Anubis
ex-ENEIDA,5,4 - 6,40.0%,100.0%,16.7%,Anubis
Corinthians,10,6 - 14,30.0%,83.3%,21.4%,Anubis
SPORT,6,8 - 4,66.7%,100.0%,0.0%,Anubis
inSanitY fe,3,2 - 4,33.3%,0.0%,0.0%,Anubis
FyR,1,0 - 2,0.0%,-,100.0%,Anubis
lajtbitexe,9,9 - 9,50.0%,88.9%,0.0%,Anubis
Lemondogs,2,2 - 2,50.0%,50.0%,0.0%,Anubis
GODSENT,1,0 - 2,0.0%,-,0.0%,Anubis
Pantsu,3,3 - 3,50.0%,100.0%,0.0%,Anubis
LT5,4,4 - 4,50.0%,75.0%,0.0%,Anubis
st4rboys,1,1 - 1,50.0%,0.0%,0.0%,Anubis
2070,1,1 - 1,50.0%,100.0%,100.0%,Anubis
Onliners5,1,0 - 2,0.0%,-,50.0%,Anubis
GL Prism,3,3 - 3,50.0%,100.0%,0.0%,Anubis
FORZE YNG,2,0 - 4,0.0%,-,0.0%,Anubis
ex-Sprout,2,3 - 1,75.0%,100.0%,0.0%,Anubis
Derpy Kids,1,1 - 1,50.0%,100.0%,0.0%,Anubis
NITRO,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Fluxo Demons,7,6 - 8,42.9%,83.3%,0.0%,Anubis
The Witchers,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Limitless,20,17 - 23,42.5%,94.1%,21.7%,Anubis
Rocket,11,8 - 14,36.4%,87.5%,0.0%,Anubis
Duck Duck Goose,2,3 - 1,75.0%,100.0%,0.0%,Anubis
Agency,1,2 - 0,100.0%,100.0%,-,Anubis
V1dar,8,7 - 9,43.8%,71.4%,0.0%,Anubis
Lazer Cats,2,2 - 2,50.0%,50.0%,0.0%,Anubis
The Nomads,2,1 - 3,25.0%,100.0%,0.0%,Anubis
Kappa Bar,4,4 - 4,50.0%,100.0%,25.0%,Anubis
LYG,6,3 - 9,25.0%,66.7%,11.1%,Anubis
Rounds,2,1 - 3,25.0%,100.0%,0.0%,Anubis
KZG,10,9 - 11,45.0%,66.7%,18.2%,Anubis
Turkey,1,2 - 0,100.0%,50.0%,-,Anubis
Norway,2,2 - 2,50.0%,100.0%,50.0%,Anubis
francesinha,1,0 - 2,0.0%,-,50.0%,Anubis
brazylijski luz,7,4 - 10,28.6%,100.0%,0.0%,Anubis
ex-Anonymo,2,1 - 3,25.0%,100.0%,0.0%,Anubis
Sashi Academy,3,2 - 4,33.3%,100.0%,0.0%,Anubis
SUBUTAI,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Cringexe,1,2 - 0,100.0%,100.0%,-,Anubis
Housebets,7,5 - 9,35.7%,100.0%,33.3%,Anubis
Moon,1,0 - 2,0.0%,-,0.0%,Anubis
Eruption,3,2 - 4,33.3%,50.0%,0.0%,Anubis
ORKS,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Apogee,13,12 - 14,46.2%,83.3%,14.3%,Anubis
Vanir,2,2 - 2,50.0%,100.0%,0.0%,Anubis
VERTEX,2,1 - 3,25.0%,100.0%,0.0%,Anubis
W7M,30,33 - 27,55.0%,72.7%,3.7%,Anubis
PeeP,1,2 - 0,100.0%,50.0%,-,Anubis
LBS Norra,1,1 - 1,50.0%,100.0%,0.0%,Anubis
SunDogs,1,1 - 1,50.0%,100.0%,0.0%,Anubis
VP.Angels,1,1 - 1,50.0%,100.0%,0.0%,Anubis
YeYO,1,2 - 0,100.0%,100.0%,-,Anubis
JOGA DE TERNO,6,4 - 8,33.3%,75.0%,12.5%,Anubis
SHPL,5,4 - 6,40.0%,75.0%,0.0%,Anubis
One More,6,6 - 6,50.0%,33.3%,16.7%,Anubis
Sunds Gymnasiet,1,0 - 2,0.0%,-,0.0%,Anubis
WG Bandits,5,4 - 6,40.0%,100.0%,0.0%,Anubis
red demon,1,0 - 2,0.0%,-,50.0%,Anubis
Kubix,3,2 - 4,33.3%,100.0%,25.0%,Anubis
Carnival,7,6 - 8,42.9%,83.3%,0.0%,Anubis
ADEPTS,5,5 - 5,50.0%,60.0%,0.0%,Anubis
PrizyvaNet,2,3 - 1,75.0%,33.3%,100.0%,Anubis
LOS,3,2 - 4,33.3%,100.0%,0.0%,Anubis
VexX,4,3 - 5,37.5%,66.7%,0.0%,Anubis
ex-Guild Eagles,3,2 - 4,33.3%,50.0%,0.0%,Anubis
2GAME,9,10 - 8,55.6%,90.0%,0.0%,Anubis
9INE Academy,1,2 - 0,100.0%,100.0%,-,Anubis
xGOD,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Old School,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Benched Heroes,1,2 - 0,100.0%,100.0%,-,Anubis
CyberMAN,1,1 - 1,50.0%,100.0%,0.0%,Anubis
TNL,7,3 - 11,21.4%,100.0%,0.0%,Anubis
Snakes Den,2,2 - 2,50.0%,50.0%,0.0%,Anubis
ThunderFlash,3,3 - 3,50.0%,100.0%,33.3%,Anubis
Argentina fe,1,1 - 1,50.0%,100.0%,0.0%,Anubis
ex-SPORT,1,1 - 1,50.0%,100.0%,100.0%,Anubis
QM fe,1,2 - 0,100.0%,100.0%,-,Anubis
Astralis Talent,12,12 - 12,50.0%,83.3%,8.3%,Anubis
Molotov,2,1 - 3,25.0%,100.0%,33.3%,Anubis
Supernova,1,1 - 1,50.0%,100.0%,0.0%,Anubis
JANO,15,15 - 15,50.0%,80.0%,13.3%,Anubis
Sympa la force,2,2 - 2,50.0%,50.0%,0.0%,Anubis
Flying Angels,1,1 - 1,50.0%,100.0%,0.0%,Anubis
River Plate,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Amped Red,1,0 - 2,0.0%,-,0.0%,Anubis
NuTorious,1,0 - 2,0.0%,-,50.0%,Anubis
Belgium,1,1 - 1,50.0%,0.0%,0.0%,Anubis
Esprots,2,3 - 1,75.0%,33.3%,100.0%,Anubis
ELUSIVEza's party,2,2 - 2,50.0%,50.0%,0.0%,Anubis
AL QATRAO,3,2 - 4,33.3%,100.0%,25.0%,Anubis
Players,3,4 - 2,66.7%,75.0%,0.0%,Anubis
DEMESIS,1,1 - 1,50.0%,0.0%,0.0%,Anubis
regain,4,2 - 6,25.0%,100.0%,20.0%,Anubis
Smoke,5,4 - 6,40.0%,50.0%,16.7%,Anubis
Aether,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Bromo,3,2 - 4,33.3%,50.0%,0.0%,Anubis
Twisted Minds,4,3 - 5,37.5%,100.0%,0.0%,Anubis
Chetz,1,1 - 1,50.0%,100.0%,0.0%,Anubis
G3,8,6 - 10,37.5%,66.7%,0.0%,Anubis
7AM,1,0 - 2,0.0%,-,50.0%,Anubis
Grindas,1,1 - 1,50.0%,100.0%,0.0%,Anubis
GENKID4M4,1,1 - 1,50.0%,0.0%,0.0%,Anubis
huge sweaty,3,3 - 3,50.0%,66.7%,0.0%,Anubis
Spain fe,1,2 - 0,100.0%,100.0%,-,Anubis
